date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:13	123/123	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/robots.txt		(from )
18:48:14	13130/13130	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/	D:/download/httrack/boots3/getbootstrap.com/index.html	(from )
18:48:17	26158/26158	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/assets/css/docs.min.css	D:/download/httrack/boots3/getbootstrap.com/assets/css/docs.min.css	(from http://getbootstrap.com/)
18:48:18	2132/2132	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/assets/js/ie-emulation-modes-warning.js	D:/download/httrack/boots3/getbootstrap.com/assets/js/ie-emulation-modes-warning.js	(from http://getbootstrap.com/)
18:48:18	117305/117305	---MC-	200	added ('OK')	text/css	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/dist/css/bootstrap.min.css	D:/download/httrack/boots3/getbootstrap.com/dist/css/bootstrap.min.css	(from http://getbootstrap.com/)
18:48:25	6140/6140	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/apple-touch-icon.png	D:/download/httrack/boots3/getbootstrap.com/apple-touch-icon.png	(from http://getbootstrap.com/)
18:48:26	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/favicon.ico	D:/download/httrack/boots3/getbootstrap.com/favicon.ico	(from http://getbootstrap.com/)
18:48:28	25523/25523	---MC-	200	added ('OK')	text/javascript	date:Tue,%2031%20Mar%202015%2019:45:18%20GMT	http://www.google-analytics.com/analytics.js	D:/download/httrack/boots3/www.google-analytics.com/analytics.js	(from http://getbootstrap.com/)
18:48:29	6654/6654	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/assets/img/devices.png	D:/download/httrack/boots3/getbootstrap.com/assets/img/devices.png	(from http://getbootstrap.com/)
18:48:40	71181/71181	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/getting-started/	D:/download/httrack/boots3/getbootstrap.com/getting-started/index.html	(from http://getbootstrap.com/)
18:48:52	211155/211155	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/javascript/	D:/download/httrack/boots3/getbootstrap.com/javascript/index.html	(from http://getbootstrap.com/)
18:48:53	303471/303471	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/components/	D:/download/httrack/boots3/getbootstrap.com/components/index.html	(from http://getbootstrap.com/)
18:48:53	307636/307636	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/css/	D:/download/httrack/boots3/getbootstrap.com/css/index.html	(from http://getbootstrap.com/)
18:50:33	144495/144495	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Apr%202015%2001:42:05%20GMT	http://getbootstrap.com/customize/	D:/download/httrack/boots3/getbootstrap.com/customize/index.html	(from http://getbootstrap.com/)
